basin,cgps_lat,cgps_lon,data_provider,ibtracsID,model,msize,ngps_lat,ngps_lon,original_data,pcen,penv,prepcen,res,rmax,tint,vmax
NA,10.8,-35.5,hurdat_atl,1992230N11325,H08,101,11.2,-37.4,1,1010.0,1010,1010.0,0.1,0,6.0,25.0
NA,11.2,-37.4,hurdat_atl,1992230N11325,H08,101,11.7,-39.6,1,1009.0,1010,1010.0,0.1,0,6.0,30.0
NA,11.7,-39.6,hurdat_atl,1992230N11325,H08,101,12.3,-42.0,1,1008.0,1010,1010.0,0.1,0,6.0,30.0
NA,12.3,-42.0,hurdat_atl,1992230N11325,H08,101,13.1,-44.2,1,1006.0,1010,1010.0,0.1,0,6.0,35.0
NA,13.1,-44.2,hurdat_atl,1992230N11325,H08,101,13.6,-46.2,1,1003.0,1010,1010.0,0.1,0,6.0,35.0
NA,13.6,-46.2,hurdat_atl,1992230N11325,H08,101,14.1,-48.0,1,1002.0,1010,1010.0,0.1,0,6.0,40.0
NA,14.1,-48.0,hurdat_atl,1992230N11325,H08,101,14.6,-49.9,1,1001.0,1010,1010.0,0.1,0,6.0,45.0
NA,14.6,-49.9,hurdat_atl,1992230N11325,H08,101,15.4,-51.8,1,1000.0,1010,1010.0,0.1,0,6.0,45.0
NA,15.4,-51.8,hurdat_atl,1992230N11325,H08,101,16.3,-53.5,1,1000.0,1010,1010.0,0.1,0,6.0,45.0
NA,16.3,-53.5,hurdat_atl,1992230N11325,H08,101,17.2,-55.3,1,1001.0,1010,1010.0,0.1,0,6.0,45.0
NA,17.2,-55.3,hurdat_atl,1992230N11325,H08,101,18.0,-56.9,1,1002.0,1010,1010.0,0.1,0,6.0,45.0
NA,18.0,-56.9,hurdat_atl,1992230N11325,H08,101,18.8,-58.3,1,1005.0,1010,1010.0,0.1,0,6.0,45.0
NA,18.8,-58.3,hurdat_atl,1992230N11325,H08,101,19.8,-59.3,1,1007.0,1010,1010.0,0.1,0,6.0,45.0
NA,19.8,-59.3,hurdat_atl,1992230N11325,H08,101,20.7,-60.0,1,1010.0,1010,1010.0,0.1,0,6.0,40.0
NA,20.7,-60.0,hurdat_atl,1992230N11325,H08,101,21.7,-60.7,1,1010.0,1010,1010.0,0.1,0,6.0,40.0
NA,21.7,-60.7,hurdat_atl,1992230N11325,H08,101,22.5,-61.5,1,1010.0,1010,1010.0,0.1,0,6.0,40.0
NA,22.5,-61.5,hurdat_atl,1992230N11325,H08,101,23.2,-62.4,1,1010.0,1010,1010.0,0.1,0,6.0,40.0
NA,23.2,-62.4,hurdat_atl,1992230N11325,H08,101,23.9,-63.3,1,1010.0,1010,1010.0,0.1,0,6.0,45.0
NA,23.9,-63.3,hurdat_atl,1992230N11325,H08,101,24.4,-64.2,1,1010.0,1010,1010.0,0.1,0,6.0,45.0
NA,24.4,-64.2,hurdat_atl,1992230N11325,H08,101,24.8,-64.9,1,1007.0,1010,1010.0,0.1,0,6.0,50.0
NA,24.8,-64.9,hurdat_atl,1992230N11325,H08,101,25.3,-65.9,1,1004.0,1010,1010.0,0.1,0,6.0,50.0
NA,25.3,-65.9,hurdat_atl,1992230N11325,H08,101,25.6,-67.0,1,1000.0,1010,1010.0,0.1,0,6.0,55.0
NA,25.6,-67.0,hurdat_atl,1992230N11325,H08,101,25.8,-68.3,1,994.0,1010,1010.0,0.1,0,6.0,65.0
NA,25.8,-68.3,hurdat_atl,1992230N11325,H08,101,25.7,-69.7,1,981.0,1010,1010.0,0.1,0,6.0,80.0
NA,25.7,-69.7,hurdat_atl,1992230N11325,H08,101,25.6,-71.1,1,969.0,1010,1010.0,0.1,0,6.0,95.0
NA,25.6,-71.1,hurdat_atl,1992230N11325,H08,101,25.5,-72.5,1,961.0,1010,1010.0,0.1,0,6.0,110.0
NA,25.5,-72.5,hurdat_atl,1992230N11325,H08,101,25.4,-74.2,1,947.0,1010,1010.0,0.1,0,6.0,130.0
NA,25.4,-74.2,hurdat_atl,1992230N11325,H08,101,25.4,-75.8,1,933.0,1010,1010.0,0.1,0,6.0,145.0
NA,25.4,-75.8,hurdat_atl,1992230N11325,H08,101,25.4,-77.5,1,922.0,1010,1010.0,0.1,0,6.0,150.0
NA,25.4,-77.5,hurdat_atl,1992230N11325,H08,101,25.4,-79.3,1,930.0,1010,1010.0,0.1,0,6.0,125.0
NA,25.4,-79.3,hurdat_atl,1992230N11325,H08,101,25.6,-81.2,1,937.0,1010,1010.0,0.1,0,6.0,130.0
NA,25.6,-81.2,hurdat_atl,1992230N11325,H08,101,25.8,-83.1,1,951.0,1010,1010.0,0.1,0,6.0,115.0
NA,25.8,-83.1,hurdat_atl,1992230N11325,H08,101,26.2,-85.0,1,947.0,1010,1010.0,0.1,0,6.0,115.0
NA,26.2,-85.0,hurdat_atl,1992230N11325,H08,101,26.6,-86.7,1,943.0,1010,1010.0,0.1,0,6.0,115.0
NA,26.6,-86.7,hurdat_atl,1992230N11325,H08,101,27.2,-88.2,1,948.0,1010,1010.0,0.1,0,6.0,115.0
NA,27.2,-88.2,hurdat_atl,1992230N11325,H08,101,27.8,-89.6,1,946.0,1010,1010.0,0.1,0,6.0,120.0
NA,27.8,-89.6,hurdat_atl,1992230N11325,H08,101,28.5,-90.5,1,941.0,1010,1010.0,0.1,0,6.0,125.0
NA,28.5,-90.5,hurdat_atl,1992230N11325,H08,101,29.2,-91.3,1,937.0,1010,1010.0,0.1,0,6.0,125.0
NA,29.2,-91.3,hurdat_atl,1992230N11325,H08,101,30.1,-91.7,1,955.0,1010,1010.0,0.1,0,6.0,120.0
NA,30.1,-91.7,hurdat_atl,1992230N11325,H08,101,30.9,-91.6,1,973.0,1010,1010.0,0.1,0,6.0,80.0
NA,30.9,-91.6,hurdat_atl,1992230N11325,H08,101,31.5,-91.1,1,991.0,1010,1010.0,0.1,0,6.0,50.0
NA,31.5,-91.1,hurdat_atl,1992230N11325,H08,101,32.1,-90.5,1,995.0,1010,1010.0,0.1,0,6.0,35.0
NA,32.1,-90.5,hurdat_atl,1992230N11325,H08,101,32.8,-89.6,1,997.0,1010,1010.0,0.1,0,6.0,30.0
NA,32.8,-89.6,hurdat_atl,1992230N11325,H08,101,33.6,-88.4,1,998.0,1010,1010.0,0.1,0,6.0,30.0
NA,33.6,-88.4,hurdat_atl,1992230N11325,H08,101,34.4,-86.7,1,999.0,1010,1010.0,0.1,0,6.0,25.0
NA,34.4,-86.7,hurdat_atl,1992230N11325,H08,101,35.4,-84.0,1,1000.0,1010,1010.0,0.1,0,6.0,20.0
NA,35.4,-84.0,hurdat_atl,1992230N11325,H08,101,35.4,-84.0,1,1000.0,1010,1010.0,0.1,0,6.0,20.0
